常用频道,#genre#

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8





//央视官网线路,

CCTV1,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8
CCTV2,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV3,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV4,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV5,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576403.m3u8
CCTV5+,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574303.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV7,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV8,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV9,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576003.m3u8
CCTV10,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573001.m3u8
CCTV11,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8
CCTV12,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575803.m3u8
CCTV13,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575703.m3u8
CCTV14,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575603.m3u8
CCTV15,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575403.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV17,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8
CCTV兵器科技,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV第一剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV怀旧剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV风云剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV风云音乐,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV风云足球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV电视指南,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV女性时尚,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV央视文化精品,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV世界地理,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV高尔夫网球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV央视台球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513703.m3u8
CCTV卫生健康,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CGTN,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575001.m3u8
CGTN纪录,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574703.m3u8
CGTN西语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022571703.m3u8
CGTN法语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574903.m3u8
CGTN阿语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574603.m3u8
CGTN俄语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574803.m3u8
中国教育1,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
北京卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
天津卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
重庆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
黑龙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
辽宁卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
河北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294803.m3u8
安徽卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
河南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
湖北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
湖南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
江西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294103.m3u8
江苏卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
东南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
广东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
深圳卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
广西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
贵州卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
四川卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
新疆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927403.m3u8
海南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
兵团卫视,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
深圳卫视,http://61.141.202.118:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8



//联通网线路,
//内蒙古,
CCTV1,http://110.7.128.210:8096/tsfile/live/0001_1.m3u8
CCTV2,http://110.7.128.210:8096/tsfile/live/0002_1.m3u8
CCTV3,http://110.7.128.210:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.128.210:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.128.210:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.128.210:8096/tsfile/live/0006_1.m3u8
CCTV7,http://110.7.128.210:8096/tsfile/live/0007_1.m3u8
CCTV8,http://110.7.128.210:8096/tsfile/live/0008_1.m3u8
CCTV9,http://110.7.128.210:8096/tsfile/live/0009_1.m3u8
CCTV10,http://110.7.128.210:8096/tsfile/live/0010_1.m3u8
CCTV11,http://110.7.128.210:8096/tsfile/live/0011_1.m3u8
CCTV12,http://110.7.128.210:8096/tsfile/live/0012_1.m3u8
CCTV13,http://110.7.128.210:8096/tsfile/live/0013_1.m3u8
CCTV14,http://110.7.128.210:8096/tsfile/live/0014_1.m3u8
CCTV15,http://110.7.128.210:8096/tsfile/live/0014_2.m3u8
内蒙古,http://110.7.128.210:8096/tsfile/live/0018_1.m3u8
浙江卫视,http://110.7.128.210:8096/tsfile/live/0124_1.m3u8
江苏卫视,http://110.7.128.210:8096/tsfile/live/0127_1.m3u8
湖北卫视,http://110.7.128.210:8096/tsfile/live/0132_1.m3u8
广东卫视,http://110.7.128.210:8096/tsfile/live/0125_1.m3u8
山西卫视,http://110.7.128.210:8096/tsfile/live/0118_1.m3u8
贵州卫视,http://110.7.128.210:8096/tsfile/live/0120_1.m3u8
上海卫视,http://110.7.128.210:8096/tsfile/live/0107_1.m3u8
辽宁卫视,http://110.7.128.210:8096/tsfile/live/0121_1.m3u8
山东卫视,http://110.7.128.210:8096/tsfile/live/0131_1.m3u8
黑龙江卫视,http://110.7.128.210:8096/tsfile/live/0143_1.m3u8
广西卫视,http://110.7.128.210:8096/tsfile/live/0113_1.m3u8
兵团卫视,http://110.7.128.210:8096/tsfile/live/0115_1.m3u8
安徽卫视,http://110.7.128.210:8096/tsfile/live/0130_1.m3u8
北京卫视,http://110.7.128.210:8096/tsfile/live/0122_1.m3u8
东南卫视,http://110.7.128.210:8096/tsfile/live/0137_1.m3u8
天津卫视,http://110.7.128.210:8096/tsfile/live/0135_1.m3u8
湖南卫视,http://110.7.128.210:8096/tsfile/live/0128_1.m3u8
四川卫视,http://110.7.128.210:8096/tsfile/live/0123_1.m3u8
深圳卫视,http://110.7.128.210:8096/tsfile/live/0126_1.m3u8
宁夏卫视,http://110.7.128.210:8096/tsfile/live/0112_1.m3u8
云南卫视,http://110.7.128.210:8096/tsfile/live/0119_1.m3u8
河南卫视,http://110.7.128.210:8096/tsfile/live/0139_1.m3u8
江西卫视,http://110.7.128.210:8096/tsfile/live/0138_1.m3u8
IPTV 6+,http://110.7.128.210:8096/tsfile/live/1010_1.m3u8
//河北廊坊,
CCTV1,http://120.7.86.39:808/hls/1/index.m3u8
CCTV2,http://120.7.86.39:808/hls/2/index.m3u8
CCTV3,http://120.7.86.39:808/hls/3/index.m3u8
CCTV4,http://120.7.86.39:808/hls/4/index.m3u8
CCTV5,http://120.7.86.39:808/hls/5/index.m3u8
CCTV6,http://120.7.86.39:808/hls/6/index.m3u8
CCTV7,http://120.7.86.39:808/hls/7/index.m3u8
CCTV8,http://120.7.86.39:808/hls/8/index.m3u8
CCTV9,http://120.7.86.39:808/hls/9/index.m3u8
CCTV10,http://120.7.86.39:808/hls/10/index.m3u8
CCTV11,http://120.7.86.39:808/hls/11/index.m3u8
CCTV12,http://120.7.86.39:808/hls/12/index.m3u8
CCTV13,http://120.7.86.39:808/hls/13/index.m3u8
CCTV14,http://120.7.86.39:808/hls/14/index.m3u8
CCTV15,http://120.7.86.39:808/hls/15/index.m3u8
CCTV5+,http://120.7.86.39:808/hls/16/index.m3u8
河北卫视,http://120.7.86.39:808/hls/17/index.m3u8
湖南卫视,http://120.7.86.39:808/hls/18/index.m3u8
江苏卫视,http://120.7.86.39:808/hls/19/index.m3u8
天津卫视,http://120.7.86.39:808/hls/20/index.m3u8
深圳卫视,http://120.7.86.39:808/hls/21/index.m3u8
山东卫视,http://120.7.86.39:808/hls/22/index.m3u8
广东卫视,http://120.7.86.39:808/hls/23/index.m3u8
北京卫视,http://120.7.86.39:808/hls/24/index.m3u8
东方卫视,http://120.7.86.39:808/hls/25/index.m3u8
黑龙江卫视,http://120.7.86.39:808/hls/26/index.m3u8
浙江卫视,http://120.7.86.39:808/hls/27/index.m3u8
安徽卫视,http://120.7.86.39:808/hls/28/index.m3u8
湖北卫视,http://120.7.86.39:808/hls/29/index.m3u8
四川卫视,http://120.7.86.39:808/hls/30/index.m3u8
重庆卫视,http://120.7.86.39:808/hls/31/index.m3u8
东南卫视,http://120.7.86.39:808/hls/32/index.m3u8
广西卫视,http://120.7.86.39:808/hls/33/index.m3u8
吉林卫视,http://120.7.86.39:808/hls/34/index.m3u8
陕西卫视,http://120.7.86.39:808/hls/35/index.m3u8
山西卫视,http://120.7.86.39:808/hls/36/index.m3u8
内蒙古卫视,http://120.7.86.39:808/hls/37/index.m3u8
青海卫视,http://120.7.86.39:808/hls/38/index.m3u8
宁夏卫视,http://120.7.86.39:808/hls/39/index.m3u8
西藏卫视,http://120.7.86.39:808/hls/40/index.m3u8
新疆卫视,http://120.7.86.39:808/hls/41/index.m3u8
甘肃卫视,http://120.7.86.39:808/hls/42/index.m3u8
河南卫视,http://120.7.86.39:808/hls/43/index.m3u8
贵州卫视,http://120.7.86.39:808/hls/44/index.m3u8
云南卫视,http://120.7.86.39:808/hls/45/index.m3u8
辽宁卫视,http://120.7.86.39:808/hls/48/index.m3u8
浙江卫视,http://120.7.86.39:808/hls/49/index.m3u8
河北影视,http://120.7.86.39:808/hls/52/index.m3u8
//安徽,
CCTV1,http://112.123.155.153:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.123.155.153:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.123.155.153:9901/tsfile/live/0003_1.m3u8
CCTV6,http://112.123.155.153:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.123.155.153:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.123.155.153:9901/tsfile/live/0008_1.m3u8
CCTV10,http://112.123.155.153:9901/tsfile/live/0010_1.m3u8
CCTV12,http://112.123.155.153:9901/tsfile/live/0012_1.m3u8
CCTV13,http://112.123.155.153:9901/tsfile/live/0013_1.m3u8
CCTV14,http://112.123.155.153:9901/tsfile/live/0014_1.m3u8
安徽卫视,http://112.123.155.153:9901/tsfile/live/0130_1.m3u8
东南卫视,http://112.123.155.153:9901/tsfile/live/0137_1.m3u8
//天津,
CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8
CCTV2,http://111.160.17.2:59901/tsfile/live/0002_1.m3u8
CCTV3,http://111.160.17.2:59901/tsfile/live/0003_1.m3u8
CCTV4,http://111.160.17.2:59901/tsfile/live/1000_1.m3u8
CCTV5,http://111.160.17.2:59901/tsfile/live/1002_1.m3u8
CCTV6,http://111.160.17.2:59901/tsfile/live/0006_1.m3u8
CCTV7,http://111.160.17.2:59901/tsfile/live/0007_1.m3u8
CCTV8,http://111.160.17.2:59901/tsfile/live/0008_1.m3u8
CCTV9,http://111.160.17.2:59901/tsfile/live/0009_1.m3u8
CCTV10,http://111.160.17.2:59901/tsfile/live/0010_1.m3u8
CCTV11,http://111.160.17.2:59901/tsfile/live/0011_1.m3u8
CCTV12,http://111.160.17.2:59901/tsfile/live/0012_1.m3u8
CCTV13,http://111.160.17.2:59901/tsfile/live/0013_1.m3u8
CCTV14,http://111.160.17.2:59901/tsfile/live/0014_1.m3u8
CCTV15,http://111.160.17.2:59901/tsfile/live/0015_1.m3u8
CCTV17,http://111.160.17.2:59901/tsfile/live/0019_1.m3u8
CCTV5+,http://111.160.17.2:59901/tsfile/live/0016_1.m3u8
