易发TV-香蕉出品,#genre#
CCTV1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1HD,http://125126.xyz:9080/hls/CCTV1.m3u8
CCTV1HD,http://18161816.xyz:9080/hls/CCTV1.m3u8
CCTV1HD,http://jchl.x3322.net:9080/hls/CCTV1.m3u8
CCTV2HD,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV13,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv13_2/index.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV-8K,https://tv.cry33.com/ys4k.php?id=8k
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
CCTV13HD,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV16HD,https://node1.olelive.com:6443/live/CCTV16HD/hls.m3u8
CCTV1HD,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2HD,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV5HD,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5PHD,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6HD,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV8HD,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV9HD,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
湖南卫视,https://node1.olelive.com:6443/live/HUNANHD/hls.m3u8
辽宁卫视,https://node1.olelive.com:6443/live/LIAONINGHD/hls.m3u8
NBA-2,http://170.yfvodcdn.com:8080/live/nbaTV2/hls.m3u8
NBA-3,http://170.yfvodcdn.com:8080/live/nbaTV3/hls.m3u8
凤凰中文,http://170.yfvodcdn.com:8080/live/xsjgat2/hls.m3u8

临时频道,#genre#
广电翡翠,http://mtw.so/6wH0QW
(1线)重温经典,http://mtw.so/5NPX0U
(2线)重温经典,http://mtw.so/5V5OIT
(3线)重温经典,http://mtw.so/5FgUAm
(1线)TVB Plus,http://mtw.so/5Vma8v
(2线)TVB Plus,http://mtw.so/5FjcYK
(1线)無綫新聞台,http://mtw.so/5G16eP
(2线)無綫新聞台,http://live.cooltv.top/tv/tvb.php?id=2
(1线)凤凰中文,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8
(1线)凤凰资讯,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
(2线)凤凰卫视,http://tvbox.netsite.cc/proxy/1650326537/1650326537.m3u8
(2线)凤凰中文,http://tvbox.netsite.cc/proxy/1846789161/1846789161.m3u8
(3线)鳳凰資訊,http://61.221.215.25:8800/hls/47/index.m3u8
(3线)凤凰卫视,http://64.140.167.170:8080/live/xsjgat2/hls.m3u8
(4线)凤凰中文高清,http://122.224.232.226:8888/udp/233.50.200.191:5140
(4线)凤凰资讯高清,http://122.224.232.226:8888/udp/233.50.200.192:5140
AMC电影,http://mtw.so/5VmkBn
NOW体育,http://mtw.so/62SxG4
香港C+,http://mtw.so/5GjUs9
8TV,http://mtw.so/6wzCN6
香港32台,http://mtw.so/6hEsRq
香港33台,http://mtw.so/6wGQpw
香港34台,http://mtw.so/5G3Pv1
香港35台,http://mtw.so/5V5PDv

港澳台频道,#genre#
(3线)NOW体育,http://60.30.198.43:5080/xiangjiaoge/nowty/hls.m3u8
(3线)NOW体育2,http://60.30.198.43:5080/xiangjiaoge/nowty2/hls.m3u8
(3线)NOW新闻,http://60.30.198.43:5080/xiangjiaoge/nowxw/hls.m3u8
(3线)NOW星影,http://60.30.198.43:5080/xiangjiaoge/xy/hls.m3u8
(3线)NOW爆谷,http://60.30.198.43:5080/xiangjiaoge/bg/hls.m3u8
(3线)广电翡翠1,http://60.30.198.43:5080/xiangjiaoge/gdfc1/hls.m3u8
(3线)广电翡翠2,http://60.30.198.43:5080/xiangjiaoge/gdfc/hls.m3u8
(3线)TVB翡翠,http://60.30.198.43:5080/xiangjiaoge/tvb/hls.m3u8
(3线)TVBJ1,http://mtw.so/5NmqrU

(2线)NOW星影,http://111.160.76.101:80/xiangjiao/xy.live.flv
(2线)NOW爆谷,http://111.160.76.101:80/xiangjiao/bg.live.flv
(2线)NOW新闻,http://111.160.76.101:80/xiangjiao/nowxw.live.flv
(2线)NOW体育1,http://111.160.76.101:80/xiangjiao/nowty.live.flv
(2线)TVB翡翠,http://111.160.76.101:80/xiangjiao/tvb.live.flv

(1线)HOY77,http://111.230.195.119:80/HK/hoy77/hls.m3u8
(1线)HOY78,http://111.230.195.119:80/HK/hoy78/hls.m3u8
(1线)TVB翡翠,http://111.230.195.119:80/HK/tvb/hls.m3u8
(1线)tvn,http://111.230.195.119:80/HG/tvn/hls.m3u8 
(1线)jtbc,http://111.230.195.119:80/GN/jtbc/hls.m3u8

(大街)中视,rtmp://220.130.201.73/sat/tv091
(大街)华视,rtmp://220.130.201.73/sat/tv111
(大街)台视,rtmp://220.130.201.73/sat/tv071
(大街)民视,rtmp://220.130.201.73/sat/tv051
(大街)纬来体育,http://mtw.so/5yqGDH
(大街)纬来体育,rtmp://220.130.201.73/sat/tv721
(大街)纬来育乐,rtmp://220.130.201.73/sat/tv701
(大街)纬来日本,rtmp://220.130.201.73/sat/tv771
(大街)东森超视,rtmp://220.130.201.73/sat/tv331
(大街)凤凰中文,http://mtw.so/6wk5PS
(大街)凤凰资讯,http://mtw.so/5NXoZ0
(大街)凤凰香港,http://mtw.so/6hhFIg
(大街)星河,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
(大街)功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
(大街)娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
(大街)八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
(大街)三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
(大街)中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
